movement_id,movement_date,product_id,warehouse_id,supplier_id,customer_id,movement_type,reference_doc,quantity,unit_cost
MV1001,2026-01-18,P1001,WH01,S01,,receipt,PO5001,10000,0.1200
MV1002,2026-01-18,P1002,WH01,S01,,receipt,PO5001,19500,0.0500
MV1003,2026-01-23,P1003,WH02,S03,,receipt,PO5003,1200,4.5000
MV1004,2026-01-25,P1001,WH01,,C01,issue,SO9001,-1500,0.1200
MV1005,2026-01-28,P1003,WH02,,C02,issue,SO9002,-200,4.5000
MV1006,2026-02-05,P1001,WH01,WH04,,transfer_out,TR2001,-500,0.1200
MV1007,2026-02-06,P1001,WH04,WH01,,transfer_in,TR2001,500,0.1200
MV1008,2026-02-10,P1007,WH04,,C03,issue,SO9004,-300,3.1000
MV1009,2026-02-12,P1006,WH03,S02,,receipt,PO5002,500,6.8000
MV1010,2026-02-13,P1007,WH04,S04,,receipt,PO5006,2000,3.1000
MV1011,2026-02-14,P1008,WH04,S04,,receipt,PO5006,480,2.4000
MV1012,2026-02-15,P1002,WH01,,,adjust,ADJ01,-50,0.0500
