snapshot_date,product_id,warehouse_id,on_hand_qty,reserved_qty,available_qty,in_transit_qty,on_order_qty,unit_cost
2026-02-01,P1001,WH01,8500,1200,7300,0,0,0.1200
2026-02-01,P1002,WH01,16200,800,15400,0,0,0.0500
2026-02-01,P1003,WH02,900,150,750,0,0,4.5000
2026-02-01,P1004,WH01,320,40,280,800,800,1.2000
2026-02-01,P1005,WH02,25,5,20,50,50,85.0000
2026-02-01,P1006,WH03,410,30,380,0,0,6.8000
2026-02-01,P1007,WH04,1800,200,1600,0,0,3.1000
2026-02-01,P1008,WH04,420,50,370,0,0,2.4000
2026-02-15,P1001,WH01,7200,900,6300,0,0,0.1200
2026-02-15,P1002,WH01,14100,600,13500,0,0,0.0500
2026-02-15,P1003,WH02,700,100,600,0,0,4.5000
2026-02-15,P1004,WH01,1050,80,970,0,0,1.2000
2026-02-15,P1005,WH02,60,10,50,0,0,85.0000
2026-02-15,P1006,WH03,350,20,330,0,0,6.8000
2026-02-15,P1007,WH04,1500,180,1320,0,0,3.1000
2026-02-15,P1008,WH04,300,40,260,0,0,2.4000
